iter	Passed	Remaining
654	1496	788
655	1497	785
656	1499	782
657	1500	780
658	1502	777
659	1503	774
660	1505	772
661	1506	769
662	1508	766
663	1510	764
664	1511	761
665	1513	759
666	1515	756
667	1516	753
668	1518	751
669	1519	748
670	1521	745
671	1522	743
672	1524	740
673	1525	737
674	1527	735
675	1529	732
676	1530	730
677	1532	728
678	1534	725
679	1535	722
680	1537	720
681	1539	717
682	1540	715
683	1542	712
684	1543	709
685	1545	707
686	1547	704
687	1548	702
688	1550	699
689	1552	697
690	1553	694
691	1555	692
692	1557	689
693	1558	687
694	1560	684
695	1561	682
696	1563	679
697	1564	676
698	1566	674
699	1567	671
700	1570	669
701	1571	667
702	1573	664
703	1575	662
704	1577	659
705	1578	657
706	1580	654
707	1581	652
708	1582	649
709	1584	647
710	1585	644
711	1587	641
712	1588	639
713	1589	636
714	1590	634
715	1592	631
716	1593	629
717	1595	626
718	1596	624
719	1598	621
720	1599	619
721	1601	616
722	1602	613
723	1604	611
724	1605	608
725	1606	606
726	1608	604
727	1610	601
728	1611	599
729	1613	596
730	1614	594
731	1616	591
732	1617	589
733	1619	586
734	1621	584
735	1622	582
736	1624	579
737	1625	577
738	1627	574
739	1628	572
740	1630	569
741	1631	567
742	1633	564
743	1634	562
744	1636	560
745	1637	557
746	1639	555
747	1641	552
748	1642	550
749	1644	548
750	1646	545
751	1647	543
752	1649	541
753	1650	538
754	1652	536
755	1654	533
756	1655	531
757	1657	529
758	1658	526
759	1660	524
760	1662	522
761	1663	519
762	1665	517
763	1666	514
764	1668	512
765	1670	510
766	1671	507
767	1673	505
768	1675	503
769	1677	500
770	1678	498
771	1680	496
772	1682	493
773	1683	491
774	1684	489
775	1686	486
776	1688	484
777	1689	482
778	1691	479
779	1693	477
780	1694	475
781	1696	472
782	1698	470
783	1700	468
784	1702	466
785	1704	464
786	1706	461
787	1707	459
788	1708	456
789	1710	454
790	1711	452
791	1713	449
792	1714	447
793	1715	445
794	1717	442
795	1719	440
796	1720	438
797	1722	435
798	1723	433
799	1725	431
800	1726	429
801	1728	426
802	1730	424
803	1731	422
804	1733	419
805	1734	417
806	1736	415
807	1738	413
808	1740	411
809	1743	408
810	1745	406
811	1747	404
812	1748	402
813	1750	399
814	1752	397
815	1755	395
816	1756	393
817	1758	391
818	1760	389
819	1762	386
820	1764	384
821	1766	382
822	1768	380
823	1771	378
824	1774	376
825	1777	374
826	1779	372
827	1785	370
828	1788	368
829	1793	367
830	1798	365
831	1801	363
832	1804	361
833	1806	359
834	1809	357
835	1813	355
836	1816	353
837	1818	351
838	1822	349
839	1826	347
840	1829	345
841	1832	343
842	1834	341
843	1837	339
844	1840	337
845	1841	335
846	1846	333
847	1848	331
848	1853	329
849	1856	327
850	1858	325
851	1861	323
852	1863	321
853	1869	319
854	1871	317
855	1874	315
856	1877	313
857	1880	311
858	1883	309
859	1888	307
860	1890	305
861	1892	303
862	1894	300
863	1897	298
864	1899	296
865	1902	294
866	1905	292
867	1907	290
868	1910	287
869	1914	286
870	1918	284
871	1920	281
872	1923	279
873	1925	277
874	1928	275
875	1931	273
876	1933	271
877	1936	269
878	1938	266
879	1943	264
880	1945	262
881	1948	260
882	1950	258
883	1953	256
884	1955	254
885	1959	252
886	1962	249
887	1964	247
888	1967	245
889	1970	243
890	1973	241
891	1976	239
892	1978	237
893	1980	234
894	1983	232
895	1985	230
896	1987	228
897	1990	226
898	1992	223
899	1997	221
900	2000	219
901	2003	217
902	2005	215
903	2007	213
904	2009	210
905	2014	208
906	2016	206
907	2020	204
908	2022	202
909	2026	200
910	2028	198
911	2031	196
912	2033	193
913	2035	191
914	2038	189
915	2040	187
916	2041	184
917	2045	182
918	2050	180
919	2052	178
920	2053	176
921	2057	174
922	2059	171
923	2064	169
924	2068	167
925	2070	165
926	2072	163
927	2076	161
928	2077	158
929	2079	156
930	2082	154
931	2087	152
932	2089	150
933	2093	147
934	2096	145
935	2097	143
936	2101	141
937	2107	139
938	2109	137
939	2112	134
940	2113	132
941	2118	130
942	2119	128
943	2123	125
944	2124	123
945	2127	121
946	2130	119
947	2133	117
948	2136	114
949	2139	112
950	2141	110
951	2144	108
952	2147	105
953	2150	103
954	2153	101
955	2155	99
956	2158	96
957	2160	94
958	2162	92
959	2164	90
960	2166	87
961	2167	85
962	2169	83
963	2172	81
964	2177	78
965	2179	76
966	2183	74
967	2187	72
968	2190	70
969	2192	67
970	2195	65
971	2197	63
972	2199	61
973	2201	58
974	2205	56
975	2216	54
976	2221	52
977	2223	50
978	2227	47
979	2231	45
980	2235	43
981	2240	41
982	2244	38
983	2247	36
984	2250	34
985	2254	32
986	2258	29
987	2260	27
988	2263	25
989	2264	22
990	2267	20
991	2269	18
992	2271	16
993	2274	13
994	2276	11
995	2278	9
996	2280	6
997	2283	4
998	2286	2
999	2288	0
