iter	Passed	Remaining
615	1187	740
616	1189	738
617	1191	736
618	1192	734
619	1194	731
620	1195	729
621	1197	727
622	1199	725
623	1200	723
624	1202	721
625	1204	719
626	1206	717
627	1207	715
628	1209	713
629	1211	711
630	1212	709
631	1214	707
632	1216	705
633	1218	703
634	1219	701
635	1221	699
636	1223	697
637	1224	695
638	1226	693
639	1228	691
640	1230	689
641	1233	688
642	1236	686
643	1238	684
644	1240	682
645	1242	681
646	1244	679
647	1246	677
648	1249	675
649	1251	673
650	1252	671
651	1255	670
652	1257	668
653	1259	666
654	1261	664
655	1263	662
656	1264	660
657	1266	658
658	1268	656
659	1270	654
660	1271	652
661	1273	650
662	1275	648
663	1276	646
664	1278	644
665	1280	642
666	1281	639
667	1283	638
668	1285	636
669	1287	634
670	1288	632
671	1290	629
672	1292	627
673	1293	625
674	1295	623
675	1297	621
676	1299	619
677	1300	617
678	1302	615
679	1303	613
680	1305	611
681	1306	609
682	1308	607
683	1310	605
684	1312	603
685	1313	601
686	1315	599
687	1317	597
688	1318	595
689	1320	593
690	1322	591
691	1324	589
692	1325	587
693	1327	585
694	1329	583
695	1330	581
696	1332	579
697	1333	577
698	1335	575
699	1337	573
700	1339	571
701	1340	569
702	1342	567
703	1344	565
704	1346	563
705	1347	561
706	1349	559
707	1351	557
708	1352	555
709	1354	553
710	1356	551
711	1358	549
712	1359	547
713	1361	545
714	1363	543
715	1365	541
716	1366	539
717	1368	537
718	1370	535
719	1371	533
720	1373	531
721	1375	529
722	1376	527
723	1378	525
724	1380	523
725	1382	521
726	1384	519
727	1385	517
728	1387	515
729	1389	513
730	1390	511
731	1392	509
732	1393	507
733	1395	505
734	1397	503
735	1398	501
736	1400	499
737	1401	497
738	1403	495
739	1405	493
740	1407	491
741	1408	489
742	1410	487
743	1411	485
744	1413	483
745	1415	481
746	1416	479
747	1418	477
748	1420	475
749	1421	473
750	1423	472
751	1425	470
752	1426	468
753	1428	466
754	1430	464
755	1432	462
756	1434	460
757	1435	458
758	1437	456
759	1439	454
760	1441	452
761	1442	450
762	1444	448
763	1446	446
764	1448	444
765	1449	442
766	1451	440
767	1453	438
768	1454	436
769	1456	435
770	1458	433
771	1460	431
772	1461	429
773	1463	427
774	1465	425
775	1466	423
776	1468	421
777	1469	419
778	1471	417
779	1473	415
780	1475	413
781	1477	411
782	1479	409
783	1480	407
784	1482	405
785	1483	403
786	1485	402
787	1487	400
788	1490	398
789	1492	396
790	1496	395
791	1497	393
792	1499	391
793	1501	389
794	1504	387
795	1506	386
796	1509	384
797	1511	382
798	1514	381
799	1517	379
800	1518	377
801	1520	375
802	1522	373
803	1524	371
804	1526	369
805	1528	367
806	1529	365
807	1531	363
808	1533	361
809	1535	360
810	1536	358
811	1538	356
812	1540	354
813	1542	352
814	1543	350
815	1545	348
816	1547	346
817	1548	344
818	1550	342
819	1552	340
820	1554	338
821	1555	336
822	1557	334
823	1559	332
824	1560	331
825	1562	329
826	1563	327
827	1565	325
828	1567	323
829	1569	321
830	1571	319
831	1572	317
832	1574	315
833	1575	313
834	1577	311
835	1579	309
836	1581	307
837	1582	305
838	1584	304
839	1586	302
840	1587	300
841	1589	298
842	1591	296
843	1592	294
844	1595	292
845	1597	290
846	1598	288
847	1600	286
848	1602	285
849	1604	283
850	1606	281
851	1609	279
852	1612	277
853	1615	276
854	1618	274
855	1621	272
856	1623	270
857	1626	269
858	1628	267
859	1630	265
860	1632	263
861	1635	261
862	1638	260
863	1639	258
864	1641	256
865	1643	254
866	1646	252
867	1650	250
868	1652	249
869	1654	247
870	1656	245
871	1658	243
872	1660	241
873	1662	239
874	1664	237
875	1666	235
876	1668	234
877	1670	232
878	1672	230
879	1674	228
880	1676	226
881	1678	224
882	1680	222
883	1682	220
884	1684	218
885	1686	216
886	1688	215
887	1690	213
888	1692	211
889	1694	209
890	1697	207
891	1699	205
892	1701	203
893	1704	202
894	1706	200
895	1708	198
896	1710	196
897	1712	194
898	1714	192
899	1716	190
900	1717	188
901	1720	186
902	1722	185
903	1724	183
904	1726	181
905	1727	179
906	1729	177
907	1731	175
908	1733	173
909	1735	171
910	1737	169
911	1739	167
912	1740	165
913	1742	163
914	1744	162
915	1746	160
916	1748	158
917	1750	156
918	1752	154
919	1753	152
920	1755	150
921	1757	148
922	1759	146
923	1760	144
924	1763	142
925	1765	141
926	1767	139
927	1769	137
928	1771	135
929	1773	133
930	1776	131
931	1778	129
932	1780	127
933	1782	125
934	1784	124
935	1787	122
936	1789	120
937	1791	118
938	1793	116
939	1795	114
940	1798	112
941	1800	110
942	1802	108
943	1804	107
944	1807	105
945	1809	103
946	1811	101
947	1814	99
948	1817	97
949	1820	95
950	1823	93
951	1826	92
952	1829	90
953	1831	88
954	1834	86
955	1836	84
956	1838	82
957	1840	80
958	1842	78
959	1844	76
960	1846	74
961	1848	73
962	1850	71
963	1852	69
964	1855	67
965	1857	65
966	1858	63
967	1860	61
968	1862	59
969	1864	57
970	1866	55
971	1868	53
972	1870	51
973	1873	50
974	1875	48
975	1877	46
976	1879	44
977	1882	42
978	1885	40
979	1887	38
980	1889	36
981	1891	34
982	1893	32
983	1895	30
984	1897	28
985	1899	26
986	1901	25
987	1904	23
988	1905	21
989	1907	19
990	1910	17
991	1912	15
992	1914	13
993	1916	11
994	1918	9
995	1919	7
996	1921	5
997	1923	3
998	1925	1
999	1927	0
